# generated by: gensig.py chirp -a 0.3 -o sig_chirp_500_8k.csv --f0 500 --f1 8000
# date: 2026-04-03T17:17:13
# signal: 500–8000 Hz log chirp
# samples: 4096
# fs: 48828.0
# amplitude: 0.3
time_s,speaker
0.000000000000000000e+00,0.000000000000000000e+00
2.048005242893421765e-05,1.929520096085094935e-02
4.096010485786843531e-05,3.852346655477972143e-02
6.144015728680264957e-05,5.760483002426932536e-02
8.192020971573687061e-05,7.645966480920329822e-02
1.024002621446710917e-04,9.500901823038145066e-02
1.228803145736052991e-04,1.131749443913316194e-01
1.433603670025395337e-04,1.308808348956035927e-01
1.638404194314737412e-04,1.480517459735854469e-01
1.843204718604079758e-04,1.646147206157397846e-01
2.048005242893421833e-04,1.804991043176211729e-01
2.252805767182763908e-04,1.956368530570719300e-01
2.457606291472105983e-04,2.099628321444195478e-01
2.662406815761448600e-04,2.234151046134539020e-01
2.867207340050790675e-04,2.359352078534524555e-01
3.072007864340132750e-04,2.474684172211786271e-01
3.276808388629474825e-04,2.579639954159974602e-01
3.481608912918816899e-04,2.673754264512834822e-01
3.686409437208159516e-04,2.756606331107233077e-01
3.891209961497501591e-04,2.827821768389366941e-01
4.096010485786843666e-04,2.887074390817170877e-01
4.300811010076185741e-04,2.934087831620939557e-01
4.505611534365527816e-04,2.968636958538253268e-01
4.710412058654869891e-04,2.990549078938361527e-01
4.915212582944211966e-04,2.999704927590267634e-01
5.120013107233554583e-04,2.996039431206380943e-01
5.324813631522897200e-04,2.979542244804611606e-01
5.529614155812238733e-04,2.950258055874237506e-01
5.734414680101581350e-04,2.908286653300059532e-01
5.939215204390922882e-04,2.853782758991603719e-01
6.144015728680265499e-04,2.786955621175560283e-01
6.348816252969608116e-04,2.708068369335856485e-01
6.553616777258949649e-04,2.617437131821992446e-01
6.758417301548292266e-04,2.515429918189939218e-01
6.963217825837633799e-04,2.402465269383354807e-01
7.168018350126976416e-04,2.279010679904352188e-01
7.372818874416319033e-04,2.145580797157794761e-01
7.577619398705660566e-04,2.002735404173158484e-01
7.782419922995003183e-04,1.851077192913404279e-01
7.987220447284344715e-04,1.691249336363999101e-01
8.192020971573687332e-04,1.523932868550704200e-01
8.396821495863029949e-04,1.349843882562548336e-01
8.601622020152371482e-04,1.169730557546884431e-01
8.806422544441714099e-04,9.843700264952545687e-02
9.011223068731055632e-04,7.945650974469056771e-02
9.216023593020398249e-04,6.011408414972935210e-02
9.420824117309739782e-04,4.049410617065455492e-02
9.625624641599082399e-04,2.068246576568711151e-02
9.830425165888423931e-04,7.661901000478103492e-04
1.003522569017776655e-03,-1.916693621273859657e-02
1.024002621446710917e-03,-3.902875654913740694e-02
1.044482673875645178e-03,-5.873113171978985858e-02
1.064962726304579440e-03,-7.818633171314511021e-02
1.085442778733513485e-03,-9.730742800686106864e-02
1.105922831162447747e-03,-1.160086846975332125e-01
1.126402883591382008e-03,-1.342059466888936292e-01
1.146882936020316270e-03,-1.518170231767495548e-01
1.167362988449250532e-03,-1.687620646741593011e-01
1.187843040878184576e-03,-1.849639318341667338e-01
1.208323093307118838e-03,-2.003485543490056975e-01
1.228803145736053100e-03,-2.148452782342820944e-01
1.249283198164987362e-03,-2.283871998443269546e-01
1.269763250593921623e-03,-2.409114850103019345e-01
1.290243303022855668e-03,-2.523596717461135119e-01
1.310723355451789930e-03,-2.626779550278380837e-01
1.331203407880724192e-03,-2.718174522210012878e-01
1.351683460309658453e-03,-2.797344478052650185e-01
1.372163512738592715e-03,-2.863906161288584107e-01
1.392643565167526760e-03,-2.917532210140039717e-01
1.413123617596461021e-03,-2.957952911301110488e-01
1.433603670025395283e-03,-2.984957701528778151e-01
1.454083722454329545e-03,-2.998396408343533825e-01
1.474563774883263807e-03,-2.998180222210313217e-01
1.495043827312197851e-03,-2.984282393737631711e-01
1.515523879741132113e-03,-2.956738650641187460e-01
1.536003932170066375e-03,-2.915647330463464471e-01
1.556483984599000637e-03,-2.861169226317043512e-01
1.576964037027934898e-03,-2.793527144221856218e-01
1.597444089456868943e-03,-2.713005171927675985e-01
1.617924141885803205e-03,-2.619947660449825633e-01
1.638404194314737466e-03,-2.514757920889549858e-01
1.658884246743671728e-03,-2.397896640455531581e-01
1.679364299172605990e-03,-2.269880022944500420e-01
1.699844351601540035e-03,-2.131277660268424134e-01
1.720324404030474296e-03,-1.982710142928762742e-01
1.740804456459408558e-03,-1.824846418627056321e-01
1.761284508888342820e-03,-1.658400909459824824e-01
1.781764561317276865e-03,-1.484130399370152953e-01
1.802244613746211126e-03,-1.302830704705995601e-01
1.822724666175145388e-03,-1.115333141870358952e-01
1.843204718604079650e-03,-9.225008071230059170e-02
1.863684771033013911e-03,-7.252246846129861702e-02
1.884164823461947956e-03,-5.244195996716244368e-02
1.904644875890882218e-03,-3.210200352770432863e-02
1.925124928319816480e-03,-1.159758304057710229e-02
1.945604980748750741e-03,8.975222028830602550e-03
1.966085033177684786e-03,2.951968453888561411e-02
1.986565085606619048e-03,4.993888335959479480e-02
2.007045138035553310e-03,7.013616074829284730e-02
2.027525190464487571e-03,9.001558126817711669e-02
2.048005242893421833e-03,1.094823900787220833e-01
2.068485295322356095e-03,1.284434684105848767e-01
2.088965347751290356e-03,1.468077840320735350e-01
2.109445400180224618e-03,1.644868345185054592e-01
2.129925452609158880e-03,1.813950811514129235e-01
2.150405505038092708e-03,1.974503712998784966e-01
2.170885557467026970e-03,2.125743471731004197e-01
2.191365609895961231e-03,2.266928388799097638e-01
2.211845662324895493e-03,2.397362397885908769e-01
2.232325714753829755e-03,2.516398622478903113e-01
2.252805767182764016e-03,2.623442718079382896e-01
2.273285819611698278e-03,2.717955981673726984e-01
2.293765872040632540e-03,2.799458211700364685e-01
2.314245924469566802e-03,2.867530302808301013e-01
2.334725976898501063e-03,2.921816560852744660e-01
2.355206029327434891e-03,2.962026724805199018e-01
2.375686081756369153e-03,2.987937683565632385e-01
2.396166134185303415e-03,2.999394877045499785e-01
2.416646186614237676e-03,2.996313372338651471e-01
2.437126239043171938e-03,2.978678607304655612e-01
2.457606291472106200e-03,2.946546795449679901e-01
2.478086343901040461e-03,2.900044987596599455e-01
2.498566396329974723e-03,2.839370787481143577e-01
2.519046448758908985e-03,2.764791720086876570e-01
2.539526501187843247e-03,2.676644253230301418e-01
2.560006553616777075e-03,2.575332474621737644e-01
2.580486606045711336e-03,2.461326428346752304e-01
2.600966658474645598e-03,2.335160116431601596e-01
2.621446710903579860e-03,2.197429172863454572e-01
2.641926763332514121e-03,2.048788219123660326e-01
2.662406815761448383e-03,1.889947911953822612e-01
2.682886868190382645e-03,1.721671695697010729e-01
2.703366920619316906e-03,1.544772273135934237e-01
2.723846973048251168e-03,1.360107810275062168e-01
2.744327025477185430e-03,1.168577891977019140e-01
2.764807077906119258e-03,9.711192467572775378e-02
2.785287130335053520e-03,7.687012603588301574e-02
2.805767182763987781e-03,5.623212989564849856e-02
2.826247235192922043e-03,3.529998639829164120e-02
2.846727287621856305e-03,1.417756016051228279e-02
2.867207340050790566e-03,-7.029980918334048472e-03
2.887687392479724828e-03,-2.821668650690043953e-02
2.908167444908659090e-03,-4.927635180300857232e-02
2.928647497337593351e-03,-7.010304999773241119e-02
2.949127549766527613e-03,-9.059166658901024460e-02
2.969607602195461441e-03,-1.106384328585167387e-01
2.990087654624395703e-03,-1.301414558062198856e-01
3.010567707053329965e-03,-1.490012418311383591e-01
3.031047759482264226e-03,-1.671212114545540528e-01
3.051527811911198488e-03,-1.844082024039221668e-01
3.072007864340132750e-03,-2.007729584111229426e-01
3.092487916769067011e-03,-2.161306011285891449e-01
3.112967969198001273e-03,-2.304010826298732439e-01
